HIP,Name_r,Name,Bayer
44127,Талитха,Talitha,ι UMa A
44471,Алькафрах,Alkaphrah,κ UMa A
44816,Сухайль,Suhail,λ Vel
45238,Миаплацидус,Miaplacidus,β Car
45556,Аспидиске,Aspidiske,ι Car
45941,Маркеб,Markeb,κ Vel
46146,Аль Минлиар аль Асад,Al Minliar al Asad,κ Leo
46390,Альфард,Alphard,α Hya
46471,Интеркрус,Intercrus,41 Lyn
46509,Укдах 1,Ukdah 1,τ1 Hya
46651,Цын Ке,Cin Ke,ψ Vel
46750,Альтерф,Alterf,λ Leo
46776,Укдах 2,Ukdah 2,τ2 Hya
46853,Аль Хауд,Al Haud,θ UMa
47431,Укдах,Ukdah,ι Hya
47508,Субра,Subra,ο Leo A
47908,Альгенуби,Algenubi,ε Leo
48356,Чжанг,Zhang,υ1 Hya A
48455,Расаляс,Rasalas,μ Leo
48615,Фелис,Felis,
49402,Минхир,Manhir,υ2 Hya
49583,Альджабхах,Aljabhah,η Leo
49669,Регул,Regulus,α Leo A
50335,Адхафера,Adhafera,ζ Leo A
50372,Тания Бореалис,Tania Borealis,λ UMa A
50583,Альгиеба,Algieba,γ1 Leo
50801,Тания Австралис,Tania Australis,μ UMa A
53229,Преципуя,Praecipua,46 LMi
53721,Чалаван,Chalawan,47 UMa
53740,Алькес,Alkes,α Crt
53910,Мерак,Merak,β UMa
54061,Дубхе,Dubhe,α UMa A
54682,Альшарасиф,Alsharasif,β Crt
54872,Зосма,Zosma,δ Leo
54879,Хертан,Chertan,θ Leo
55203,Алюла Австралис,Alula Australis,ξ UMa A
55219,Алюла Бореалис,Alula Borealis,ν UMa
55282,Лабр,Labr,δ Crt
55642,Це Ценг,Tse Tseng,ι Leo
56211,Джансар,Giausar,λ Dra
57399,Тайяншоу,Taiyangshou,χ UMa
57632,Денебола,Denebola,β Leo
57757,Завиява,Zavijava,β Vir
57939,Сбежавшая,Escaped,CF UMa
58001,Фекда,Phecda,γ UMa A
58952,Тонатиу,Tonatiuh,
59199,Альхиба,Alchiba,α Crv
59316,Минкар,Minkar,ε Crv
59747,Имай,Imai,δ Cru
59774,Мегрец,Megrez,δ UMa
59803,Гиена,Gienah,γ Crv A
60129,Заниах,Zaniah,η Vir A
60260,Гинан,Ginan,ε Cru
60718,Акрукс,Acrux,α Cru A
60742,Киссин,Kissin,γ Com
60965,Альгораб,Algorab,δ Crv A
61084,Гакрукс,Gacrux,γ Cru
61317,Хара,Chara,β CVn A
61359,Крац,Kraz,β Crv
61932,Мухлифайн,Muhlifayn,γ Cen
61941,Поррима,Porrima,γ Vir A
62223,Ла Суперба,La Superba,Y CVn
62423,Тяньи,Tianyi,7 Dra
62434,Мимоза,Mimosa,β Cru
62956,Алиот,Alioth,ε UMa A
63076,Тайи,Taiyi,8 Dra
63090,Минальаува,Minelauva,δ Vir
63125,Сердце Карла,Cor Caroli,α2 CVn A
63608,Виндемиатрикс,Vindemiatrix,ε Vir
64241,Диадема,Diadem,α Com A
64394,Альдафирах,Aldafirah,β Com
64962,Маркеб,Markeb,γ Hya
65378,Мицар,Mizar,ζ UMa A
65474,Спика,Spica,α Vir A
65477,Алькор,Alcor,80 UMa
66249,Хезе,Heze,ζ Vir A
67301,Алкаид,Alkaid,η UMa
67927,Муфрид,Muphrid,η Boo A
68702,Хадар,Hadar,β Cen A
68756,Тубан,Thuban,α Dra A
68933,Менкент,Menkent,θ Cen
69427,Канг,Kang,κ Vir
69673,Арктур,Arcturus,α Boo
69701,Сирма,Syrma,ι Vir
69713,Азеллус Секунда,Azellus Secunda,ι Boo
69732,Сюаньгэ,Xuange,λ Boo
69974,Кхамбалия,Khambalia,λ Vir A
70497,Азеллус Прима,Azellus Prima,θ Boo
70755,Эльгафар,Elgafar,ϕ Vir A
70890,Проксима Центавра,Proxima Centauri,α Cen C
71075,Сегинус,Seginus,γ Boo A
71683,Ригиль Кентаврус,Rigil Kentaurus,α Cen A
71681,Толиман,Toliman,α Cen B
71860,Мен,Men,α Lup
71957,Риджл аль Авва,,μ Vir
72105,Ицар,Izar,ε Boo A
72487,Мерга,Merga,38 Boo
72607,Кохаб,Kochab,β UMi
72622,Зубен эль Генуби,Zuben el Genubi,α2 Lib A
73273,Кэ Гуань,Ke Guan,β Lup
73334,Ке Кван,Ke Kvan,κ Cen
73473,Зубен Эльакриби,Zuben Elakribi,δ Lib
73555,Неккар,Nekkar,β Boo
73714,Брахиум,Brachium,σ Lib A
74596,Азеллус Терция,Azellu Tercia,χ Boo
74666,Принцепс,Princeps,δ Boo
74785,Зубен Эльшемали,Zuben Elshemali,β Lib
74793,Малая Феркад,Parvus Fercad,11 UMi
75097,Феркад,Pherkad,γ UMi
75411,Алкалуропс,Alkalurops,μ1 Boo A
75458,Эдасих,Edasich,ι Dra
75695,Нусакан,Nusakan,β CrB A
76267,Альфекка,Alphecca,α CrB
76276,Алиа,Alia,δ Ser
76333,Зубен эль Акраб,Zuben el Akrab,γ Lib A
76470,Зубен Хакраби,Zuben Hakrabi,υ Lib
76534,Цегинус,Ceginus,φ Boo
77070,Унукалхай,Unukalhai,α Ser
77233,Чау,Chau,β Ser
77450,Гуджа,Gudja,κ Ser
78104,Иклил,Iklil,ρ Sco A
78265,Фанг,Fang,π Sco A
78322,Полыхающая,Blazing,T CrB
78401,Джубба,Dschubba,δ Sco A
78820,Акраб,Acrab,β Sco A
78933,Джабхат,Jabhat,ω1 Sco
78990,Альакраб,Alakrab,ω2 Sco
79043,Марсик,Marsic,κ Her A
79374,Джаббах,Jabbah,ν Sco A
79593,Йед Приор,Yed Prior,δ Oph
79882,Йед Постериор,Yed Posterior,ε Oph
80112,Альният,Alniyat,σ Sco A
80331,Athebyne,Athebyne,η Dra A
80463,Каям,Cujam,ω Her A
80763,Антарес,Antares,α Sco A
80816,Корнефорос,Kornephoros,β Her A
80838,Огма,Ogma,
80883,Марфик,Marfik,λ Oph A
81022,Росалиядекастро,Rosalíadecastro,
81266,Паикаухале,Paikauhale,τ Sco A
81377,Хан,Khan,ζ Oph
82273,Атрия,Atria,α TrA
82396,Лараваг,Larawag,ε Sco
82514,Xamidimura,Xamidimura,μ1 Sco A
82545,Пипирима,Pipirima,μ2 Sco A
83608,Алракис,Alrakis,μ Dra A
83895,Альдибах,Aldhibah,ζ Dra A
84012,Сабик,Sabik,η Oph A
84143,Граффиас,Graffias,η Sco
84345,Расальгети,Rasalgethi,α1 Her A
84379,Сарин,Sarin,δ Her A
84405,Гуниибуу,Guniibuu,36 Oph A
85670,Растабан,Rastaban,β Dra A
85693,Масим,Maasym,λ Her
85696,Лесатх,Lesath,υ Sco
85792,Чжоо,Zhuo,α Ara
85822,Йилдун,Yildun,δ UMi
85927,Шаула,Shaula,λ Sco A
86032,Расальхаг,Rasalhague,α Oph A
86201,Алахфар,Alahfar,ω Dra
86228,Саргас,Sargas,θ Sco A
86614,Дзибан,Dziban,ψ1 Dra A
86670,Гиртаб,Girtab,κ Sco
86742,Цебальрай,Cebalrai,β Oph
86782,Альруба,Alruba,- Dra
86796,Сервантес,Cervantes,μ Ara
87073,Аполлион,Apollion,ι¹ Sco
87261,Фуюэ,Fuyue,G Sco
87585,Грумиум,Grumium,ξ Dra A
87833,Эльтанин,Eltanin,γ Dra
87937,Звезда Барнарда,Barnard’s Star,V2500 Oph
88048,Синистра,Sanistra,ν Oph
88635,Альназль,Alnasl,γ2 Sgr
89341,Полис,Polis,μ1 Sgr A
89931,Каус Медия,Kaus Media,δ Sgr
90185,Каус Австралис,Kaus Australis,ε Sgr A
90191,Альатфар,Alatfar,μ Lyr
90344,Фафнир,Fafnir,42 Dra A
90496,Каус Бореалис,Kaus Borealis,λ Sgr
91262,Вега,Vega,α Lyr
