HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
25;224750;;;;Phe;6,28;;;0,07936537;-44,29029741;13,74;58,36;-108,64;0,763;0,80;;D;2;C;AB;G3IV;5217;;
34;224758;;;;Peg;6,43;;;0,09946973;+26,91823821;12,71;42,20;-53,47;0,514;0,59;;;1;;;F7.5IV-V;6345;;
43;224784;;;;Cas;6,18;;;0,12908900;+59,55973786;7,63;-80,60;-24,07;1,032;1,00;;C;1;;;G9III-IV;;;
50;224782;;;;Phe;6,49;;;0,14287059;-53,09766277;16,89;52,98;-20,52;0,616;0,68;;D;2;C;AB;G1IV;6279;;
63;224801;;CG;And;And;6,36;1;CGAnd;0,18174950;+45,25333305;4,81;17,38;0,22;-0,047;-,03;3,74;P;1;;;B9pSiEu;11721;;
88;224834;;tau;Phe;Phe;5,71;;;0,26915958;-48,80985919;5,97;-17,92;-6,75;0,911;0,91;;C;1;;;G8III;;;
106;224870;;;;Cas;6,22;;;0,33016464;+49,98158501;4,50;13,29;-11,19;0,970;0,95;;C;1;;;G7II-III;5034;;
107;224865;;;;Phe;5,53;1;;0,33380226;-50,33739907;5,84;7,34;10,59;1,615;1,88;;U;1;;;M2III;;;
122;224889;;the;Oct;Oct;4,78;;;0,39937928;-77,06529438;14,77;-56,52;-176,95;1,254;1,26;;;1;;;K2III;;;
124;224893;;;;Cas;5,58;;;0,40424537;+61,22280406;0,86;-2,80;-1,34;0,407;0,47;;C;1;;;F0III;;;
128;224890;;;;Cep;6,50;;;0,41376473;+73,61187664;15,20;75,54;-12,36;0,182;0,20;;C;1;;;Am...;;;
137;224906;;;;And;6,25;;;0,43268925;+42,36714821;2,45;5,11;-1,77;-0,042;-,02;;;1;;;B9IIIpMn;12606;;
145;224926;29;;Psc;Psc;5,13;;;0,45598912;-03,02747891;7,98;18,90;-10,25;-0,128;-,12;;;1;;;B7III-IV;15273;;
154;224935;30;;Psc;Psc;4,37;2;YYPsc;0,48996506;-06,01397169;7,86;46,62;-41,32;1,631;2,35;;U;1;;;M3III;3647;;
171;224930;85;;Peg;Peg;5,80;;;0,54018776;+27,08448905;80,63;778,59;-918,72;0,690;0,82;;D;1;X;;G3V;5366;;
183;224990;;zet;Scl;Scl;5,04;;;0,58297574;-29,72044805;6,40;9,66;14,00;-0,150;-,14;;;1;;;B4V;16100;;
186;224995;31;;Psc;Psc;6,33;;;0,60069792;+08,95683360;7,55;-0,87;-4,11;0,182;0,20;;C;1;;;A6V;7731;;
194;225003;32;c;Psc;Psc;5,70;;;0,62398938;+08,48557854;26,53;-93,55;-47,50;0,315;0,36;;C;1;;;F0V;7072;;
207;225009;;;;Cas;5,87;;;0,65034249;+66,09896341;1,57;3,32;1,14;1,073;1,04;;D;1;C;;G8III;;;
238;225045;;;;Cet;6,25;;;0,73927410;-20,04607402;16,16;100,38;78,95;0,526;0,60;;;1;;;F6/F7V;6179;;
253;225069;;;;Cet;6,46;;;0,78257245;-24,14513788;6,78;59,32;-3,14;1,176;1,14;;C;1;;;K1III;;;
274;225094;;;;Cas;6,24;2;V639Cas;0,85715406;+63,64052431;0,93;-3,27;-1,83;0,332;0,43;;U;2;C;BA;B3Ia;20450;;
301;225132;2;;Cet;Cet;4,55;;;0,93488487;-17,33597002;14,31;28,57;-7,28;-0,047;-,03;;C;1;;;B9IVn;10061;;
302;225136;;;;Cep;6,31;2;V398Cep;0,96511407;+66,71220273;3,31;7,86;-8,15;1,629;2,28;;U;1;;;M4;;;
330;225180;9;;Cas;Cas;5,90;;;1,05693212;+62,28766460;0,89;-0,99;-0,37;0,274;0,31;;C;1;;;A1III;;;
343;225197;;;;Cet;5,78;;;1,08233885;-16,52888969;11,29;53,77;-60,27;1,084;1,05;;;1;;;K0III;4752;;
345;225200;;;;Scl;6,38;;;1,08457463;-29,26883006;7,75;29,15;3,44;0,006;0,03;;;1;;;A1V;9772;;
355;225212;3;;Cet;Cet;4,99;1;;1,12550980;-10,50949443;2,03;-6,49;-11,88;1,619;1,64;;M;1;;;K3Ibvar;4046;;
365;225218;;;;And;6,11;;;1,15248379;+42,09256148;1,94;-11,94;-12,73;0,159;0,18;;D;2;C;AB;B9III;;;
377;225253;;;;Tuc;5,59;;;1,17188841;-71,43685835;5,70;30,00;-13,62;-0,100;-,08;;;1;;;B8III;12677;;
379;225216;;;;Cep;5,68;;;1,17432297;+67,16638761;10,30;95,58;23,80;1,051;1,02;;C;1;;;K1III;4747;;
394;225239;;;;And;6,09;;;1,22172791;+34,65955259;27,18;769,11;100,49;0,632;0,73;;C;1;X;;G2V;5603;;
399;225276;;;;Peg;6,25;1;;1,23302998;+26,64879958;5,34;112,32;-14,52;1,368;1,34;;M;1;;;K4IIIb;;;
410;225292;;;;Peg;6,47;;;1,25472644;+27,67479979;7,63;83,36;-6,57;0,946;0,94;;C;1;;;G8II;4937;;
417;6;;;;Psc;6,32;;;1,26581912;-00,50290553;6,95;44,86;-53,47;1,099;0,91;;;1;;;G9III:;4639;;
418;225289;;;;Cas;5,80;;V567Cas;1,27555231;+61,31396468;4,50;14,29;2,24;-0,067;-,04;;;1;;;B8MNp...;;;
443;28;33;;Psc;Psc;4,61;;BCPsc;1,33394073;-05,70783255;25,38;-8,29;88,19;1,029;1,04;;;1;O;;K1III;4710;;
476;87;86;;Peg;Peg;5,55;;;1,42473238;+13,39628227;8,75;42,59;-6,51;0,901;0,87;;C;1;;;G5III;5086;;
518;123;;;;Cas;5,98;;V640Cas;1,56474395;+58,43668966;49,30;247,36;17,77;0,687;0,74;;D;2;C;AB;G5V;5723;;
522;142;;;;Phe;5,70;;;1,57776340;-49,07509405;39,00;575,21;-39,94;0,519;0,58;;;1;;;G1IV...;6273;;
531;144;10;;Cas;Cas;5,57;;;1,61052855;+64,19616859;3,32;9,70;0,01;-0,023;0,00;;;1;;;B9III;12176;;
544;166;;;;And;6,07;1;;1,65221045;+29,02193518;72,98;379,94;-178,34;0,752;0,80;;U;1;;;K0V;5474;;
560;203;;;;Cet;6,19;;;1,70843563;-23,10742543;25,59;97,30;-47,09;0,386;0,45;;;1;;;F2IV;6782;;
602;256;;;;Cet;6,20;;;1,82613856;-17,38703103;6,24;-10,77;17,02;0,133;0,15;;C;1;;;A2IV/V;8336;;
635;315;4;;Cet;Psc;6,43;;;1,93373158;-02,54868621;6,69;30,12;2,77;-0,146;-,10;;C;1;;;B8IIIsp...;;;
636;319;;;;Cet;5,93;;;1,94523194;-22,50847542;12,45;70,10;-34,71;0,141;0,16;;;1;;;A1V;8475;;
655;344;;;;Scl;5,67;;;2,01465535;-33,52933371;10,02;-42,75;3,15;1,119;1,06;;C;1;;;K1III;4667;;
664;352;5;;Cet;Psc;6,18;2;APPsc;2,05038298;-02,44769895;3,25;7,25;-4,87;1,366;1,33;48,34;P;1;;;K2III;;;
671;360;;;;Cet;5,99;;;2,07313617;-08,82402541;9,79;-34,13;-35,67;1,034;0,99;;;1;;;G8III:;4822;;
677;358;21;alf;And;And;2,07;1;alfAnd;2,09653333;+29,09082805;33,60;135,68;-162,95;-0,038;-,10;;M;1;O;;B9p;13693;Alpheratz;Альферац
695;371;;;;Cas;6,41;;;2,13694986;+63,20404897;2,17;-9,43;-3,52;0,998;0,98;;C;1;G;;G3II;5085;;
696;402;;;;Cet;6,11;2;CFCet;2,13953227;-17,57804019;2,42;14,92;-47,27;1,664;1,84;;U;1;;;M0/M1IIICNp;;;
699;400;;;;And;6,21;;;2,17092314;+36,62742794;30,26;-114,72;-124,60;0,504;0,58;;C;1;;;F8IV;6173;;
716;417;;;;Peg;6,24;;;2,21695394;+25,46285169;7,78;104,61;54,77;0,976;0,97;;C;1;;;K0III;4904;;
728;434;;;;Peg;6,47;;;2,25065511;+28,24755645;8,65;5,90;-5,62;0,242;0,27;;;1;;;A4Vm;;;
729;448;87;;Peg;Peg;5,57;;;2,25974230;+18,21202529;11,17;140,93;-25,57;1,043;0,99;;C;1;;;G9III;4804;;
730;469;;;;Phe;6,32;;;2,25978189;-54,00196301;7,00;46,45;13,08;0,738;0,81;;D;2;C;AB;G4IV...;5510;;
746;432;11;bet;Cas;Cas;2,28;1;betCas;2,29204036;+59,15021814;59,89;523,39;-180,42;0,380;0,40;0,10;P;1;;;F2III-IV;6853;Caph;Каф
760;431;;;;Cep;6,01;;;2,33262025;+79,71464113;8,56;106,17;-39,37;0,203;0,22;;D;2;C;AB;A7IV;;;
761;493;;kap01;Scl;Scl;5,42;;;2,33758620;-27,98790390;14,57;72,57;-9,99;0,414;0,48;;D;2;C;AB;F3V;6619;;
765;496;;eps;Phe;Phe;3,88;;;2,35224949;-45,74698836;23,28;122,15;-180,13;1,013;1,00;;;1;X;;K0III;4873;;
798;565;;;;Tuc;6,34;;;2,46706528;-62,29683686;7,37;17,32;17,50;0,164;0,17;;C;1;;;A6V;8054;;
813;560;34;;Psc;Psc;5,54;;;2,50910252;+11,14580908;10,04;29,73;1,64;-0,064;-,04;;C;1;;;B9V;11487;;
814;636;;gam03;Oct;Oct;5,29;;;2,50945435;-82,22399743;13,45;-21,66;-20,39;1,049;0,98;;C;1;;;K1/K2III;4840;;
840;587;;;;Psc;5,84;;;2,57853868;-05,24851713;18,18;34,98;-29,01;0,973;0,93;;;1;;;K1III;4866;;
841;571;22;;And;And;5,01;;;2,58017518;+46,07227117;3,24;4,51;0,21;0,405;0,55;;;1;;;F2II;6270;;
873;645;;;;Cet;5,84;;;2,67810574;-12,57980381;15,35;149,39;-38,22;1,000;1,01;;;1;;;K0III;4849;;
910;693;6;;Cet;Cet;4,89;;;2,81628415;-15,46732287;52,94;-84,20;-269,31;0,487;0,59;;C;1;;;F5V;6204;;
930;720;;kap02;Scl;Scl;5,41;;;2,89340430;-27,79977820;5,61;4,61;17,09;1,346;1,31;;;1;;;K2III;4160;;
950;739;;the;Scl;Scl;5,24;;;2,93286698;-35,13339606;45,85;169,01;113,75;0,459;0,53;;C;1;;;F3/F5V;6518;;
967;743;;;;And;6,18;1;;2,99596734;+48,15237121;5,93;60,54;10,39;1,467;1,48;;M;1;;;K4III;;;
983;787;;;;Cet;5,29;1;;3,04145374;-17,93821766;5,33;60,48;-24,69;1,478;1,60;;U;1;G;;K4III;3995;;
1009;800;;;;And;6,50;;;3,14201623;+44,70724772;6,30;98,84;-21,64;1,112;1,07;;D;2;C;AB;K0;;;
1067;886;88;gam;Peg;Peg;2,83;1;gamPeg;3,30895828;+15,18361593;9,79;4,70;-8,24;-0,190;-,22;0,15;P;1;G;;B2IV;21722;Algenib;Альгениб
1074;1032;;;;Oct;5,78;1;;3,33145220;-84,99402068;4,00;10,97;17,40;1,710;2,15;;U;1;;;M0/M1III;;;
1076;895;;;;And;6,24;;;3,34972158;+26,98762497;8,08;-15,68;-32,71;0,680;0,74;;D;2;C;AB;G0III;5642;;
1086;905;23;;And;And;5,71;1;;3,37889713;+41,03572671;28,57;-122,76;-146,91;0,331;0,39;;M;1;;;F0IV;10236;;
1096;942;;;;Scl;5,94;1;;3,42591849;-26,02215399;3,22;37,59;-78,73;1,548;1,55;;U;1;;;K5III;;;
1099;943;;;;Scl;6,14;1;;3,43491480;-26,28498303;4,23;-3,21;9,89;1,490;1,51;;M;1;;;K4III;;;
1123;952;;;;And;6,22;;;3,50952703;+33,20608481;11,13;-7,70;-18,77;0,009;0,03;;C;1;;;A1V;9638;;
1158;1014;;;;Cet;5,13;2;ADCet;3,61496786;-07,78053784;5,21;61,01;2,36;1,601;2,24;;U;1;;;M3IIIvar;;;
1168;1013;89;chi;Peg;Peg;4,79;1;;3,65045047;+20,20669720;10,01;90,66;1,88;1,572;1,93;;U;1;;;M2III;;;
1170;1038;7;;Cet;Cet;4,44;2;AECet;3,66013628;-18,93268628;6,62;-27,15;-73,78;1,640;1,96;;U;1;;;M1III;;;
1191;1064;;;;Cet;5,77;1;;3,72708897;-09,56955053;9,40;22,64;-8,45;-0,084;-,06;;M;1;;;B9V;11065;;
1193;1048;;;;Peg;6,25;;;3,73279426;+22,28425185;9,18;45,06;-11,00;-0,004;0,02;;C;1;;;A1p;;;
1195;1089;;;;Scl;6,17;;;3,74253202;-34,90419374;4,41;76,54;-11,99;1,344;1,38;;;1;;;K3III;;;
1196;1061;35;;Psc;Psc;6,02;2;UUPsc;3,74492370;+08,82102280;12,47;97,67;-24,96;0,312;0,36;;P;1;C;;F0IV;;;
1208;1075;;;;And;6,34;;;3,77886512;+31,53573771;2,47;33,23;-5,37;1,555;1,57;;;1;;;K5;;;
1215;1083;;;;And;6,35;;;3,79397762;+27,28347715;7,92;14,69;-15,37;-0,002;0,02;;;1;;;A1Vn;9772;;
1269;1142;;;;Cas;6,43;;;3,97863172;+61,00019736;5,76;-20,94;-10,28;0,838;0,86;;;1;;;G8III...;5186;;
1268;1221;;;;Hyi;6,49;;;3,97890167;-75,91160944;4,63;-17,82;-2,41;0,983;0,98;;C;1;;;G8/K0III;;;
1288;1187;;;;Scl;5,66;;;4,03660680;-31,44632821;7,64;117,87;-27,11;1,350;1,33;;;1;;;K2III;;;
1296;1141;;;;Cep;6,35;;;4,05785281;+76,95076267;5,28;19,77;-3,13;-0,044;-,02;;D;2;C;AB;B9Vn;;;
1302;1185;;;;And;6,12;;;4,08958566;+43,59510616;10,75;35,61;-23,43;0,068;0,08;;;2;C;AB;A2V;8913;;
1319;1227;36;;Psc;Psc;6,12;;;4,14190528;+08,24018997;7,38;-28,01;-14,69;0,919;0,89;;C;2;C;AB;G8II-III;5050;;
1331;1256;;;;Cet;6,50;;;4,17644820;-20,21005714;5,33;-6,96;-1,53;-0,108;-,09;;;1;;;B6III/IV;13672;;
1354;1239;;;;Cas;5,74;;;4,23771177;+61,53319397;5,08;-6,00;-3,46;0,898;0,90;;;1;;;G8III;5132;;
1366;1280;24;the;And;And;4,61;;;4,27306518;+38,68167915;12,88;-50,01;-17,90;0,059;0,07;;;1;X;;A2V;8837;;
1372;1279;;;;Cas;5,86;;;4,28766746;+47,94741495;3,42;4,05;-3,97;-0,079;-,06;;C;1;;;B7III;;;
1402;1343;;;;Cet;6,46;;;4,38621007;-19,05108585;20,47;20,45;-2,36;0,386;0,45;;C;1;;;F3V;6023;;
1415;1337;;AO;Cas;Cas;6,11;2;AOCas;4,42944015;+51,43309422;0,57;-4,19;-1,62;-0,151;-,15;3,52;P;1;;;O9IIInn;;;
1421;1367;;;;Psc;6,19;;;4,44852220;+01,68870485;9,89;90,04;9,15;0,937;0,89;;C;1;;;K0II;;;
1465;1419;;;;Psc;6,07;;;4,57193855;+11,20628336;7,28;-32,75;-28,60;1,036;0,94;;C;1;;;K0III;4888;;
1473;1404;25;sig;And;And;4,51;;;4,58210555;+36,78532730;23,11;-66,51;-42,48;0,054;0,06;;C;1;;;A2V;8770;;
1493;1439;;;;And;5,88;;;4,65924059;+31,51723388;6,00;58,09;-2,91;-0,014;0,01;;;1;;;A0IV;9728;;
1499;1461;;;;Cet;6,47;;;4,67342336;-08,05265094;42,67;417,66;-144,20;0,674;0,71;;C;1;;;G0V;5742;;
1501;1438;26;;And;And;6,10;;;4,67562512;+43,79114781;4,71;23,31;-2,72;-0,074;-,05;;C;1;;;B8V;11885;;
1502;1483;;;;Phe;6,33;;;4,67717473;-43,23557050;8,56;50,23;-0,06;1,210;1,19;;C;1;;;K2III;;;
1562;1522;8;iot;Cet;Cet;3,56;1;;4,85701265;-08,82382948;11,26;-14,37;-37,84;1,214;1,13;;M;1;;;K2III;4493;DanebalShemali;ДенебальШемали
1575;1527;;;;And;6,35;;;4,92324681;+40,72950687;6,03;-25,30;-19,00;1,179;1,14;;C;1;;;K1III;;;
1599;1581;;zet;Tuc;Tuc;4,23;;;5,00797581;-64,87762320;116,38;1707,56;1165,36;0,576;0,65;;;1;;;F9V;5927;;
1630;1606;;;;And;5,89;;;5,10163324;+30,93561514;5,60;15,27;-0,64;-0,098;-,08;;;1;;;B7V;13540;;
1639;1601;;;;Cas;6,46;;;5,12884068;+48,96864118;3,43;8,08;-3,43;0,564;0,64;;;1;;;G0;6138;;
1645;1635;41;d;Psc;Psc;5,38;;;5,14943435;+08,19024803;8,26;-4,50;9,59;1,343;1,28;;C;1;;;K3III;4258;;
1647;1685;;pi,;Tuc;Tuc;5,50;;;5,16267858;-69,62491154;10,65;-4,01;-0,64;-0,046;-,02;;C;1;;;B9V;10256;;
1657;1632;;;;And;5,79;1;;5,18974442;+32,91122853;5,05;-29,44;-17,29;1,595;1,78;;U;1;;;K5III;;;
1686;1671;27;rho;And;And;5,16;;;5,28010785;+37,96869954;20,42;58,32;-39,65;0,442;0,51;;;1;;;F5III;6457;;
1706;1801;;;;Hyi;5,96;;;5,36976160;-77,42685699;4,68;14,23;-6,44;1,397;1,42;;;1;;;K3III;;;
1708;1737;;iot;Scl;Scl;5,18;;;5,37990144;-28,98129509;10,50;32,77;-71,48;1,006;0,94;;;1;;;K0III;4907;;
1728;1760;;T;Cet;Cet;5,61;3;TCet;5,44264511;-20,05799253;4,21;62,63;-12,77;1,580;3,21;;U;1;;;M5/M6Ib/II;;;
1772;1796;42;;Psc;Psc;6,25;;;5,60602210;+13,48243411;5,98;63,78;22,35;1,225;1,21;;C;1;;;K3III;;;
1803;1835;9;;Cet;Cet;6,39;1;BECet;5,71480399;-12,20958506;49,05;394,27;60,45;0,659;0,70;7,34;P;1;;;G3V;5792;;
1821;1879;;;;Cet;6,43;1;;5,76813086;-15,94261714;3,23;76,78;25,04;1,595;1,87;;U;1;;;M0III;;;
1921;1976;;;;Cas;5,58;1;V746Cas;6,06518443;+52,01992467;2,38;13,70;-4,40;-0,110;-,09;1,06;P;2;C;AB;B5IV;15010;;
1939;2023;;;;Psc;6,08;;;6,12362201;-02,21896140;6,03;-34,51;-42,42;1,216;1,20;;;1;;;K1III;;;
1948;2035;;;;Psc;6,48;;;6,15894159;+14,31552048;6,09;15,07;-2,60;1,161;1,12;;C;1;;;K0;;;
1960;2011;12;;Cas;Cas;5,38;;;6,19786908;+61,83106347;4,27;13,67;-2,45;0,008;0,03;;C;1;;;B9III;10748;;
1982;2054;;;;Cas;5,72;;;6,27660700;+53,04678501;6,17;25,80;0,30;-0,056;-,03;;C;1;;;B9IV;12023;;
2006;2114;44;;Psc;Psc;5,77;;;6,35090309;+01,93972374;5,50;-14,33;-12,89;0,855;0,87;;C;1;;;G5III;5210;;
2021;2151;;bet;Hyi;Hyi;2,82;;;6,41334183;-77,25503511;133,78;2220,12;324,37;0,618;0,68;;;1;;;G2IV;5798;;
2072;2262;;kap;Phe;Phe;3,93;1;;6,55048418;-43,67990933;42,51;106,14;32,83;0,175;0,20;;M;1;;;A7V;7868;;
2081;2261;;alf;Phe;Phe;2,40;;;6,57028075;-42,30512197;42,14;232,76;-353,64;1,083;1,11;;;1;G;;K0III...;;Ankaa;Анкаа
2086;2268;;;;Cet;6,24;2;;6,59057887;-18,69360316;4,30;21,65;-12,07;1,622;2,04;;U;1;;;M1III;;;
2100;2273;10;;Cet;Cet;6,16;;;6,65572204;-00,04953631;6,71;69,63;1,49;0,893;0,89;;D;2;C;AB;G8III;5001;;
2159;2363;;;;Scl;5,99;;;6,81119663;-25,54713325;4,86;32,93;-15,26;1,022;0,98;;;1;;;K0III;;;
2178;2358;;;;Psc;6,44;;;6,87922939;+16,02545897;7,70;89,80;9,88;0,230;0,26;;C;1;;;A5;;;
2210;2429;;eta;Scl;Scl;4,86;2;etaScl;6,98213606;-33,00704460;5,95;-20,48;-50,39;1,634;2,32;;U;1;;;M2/M3III;;;
2213;2410;46;;Psc;Psc;6,40;;;6,99366564;+19,51408099;6,12;-22,30;-17,33;0,990;0,97;;;1;;;K0;5281;;
2219;2411;47;TV;Psc;Psc;5,01;2;TVPsc;7,01185234;+17,89307501;6,65;114,91;20,48;1,584;2,50;;U;1;;;M3IIIvar;;;
2224;2436;48;;Psc;Psc;6,05;1;;7,05288647;+16,44510093;2,93;18,37;-14,57;1,580;1,59;;M;1;;;K5III;3887;;
2225;2421;;;;And;5,18;;;7,05660466;+44,39448925;12,32;84,10;-15,33;0,043;0,06;;;1;;;A2Vs;9705;;
2235;2454;;;;Psc;6,05;;;7,08346734;+10,19034140;27,51;32,79;-203,14;0,447;0,52;;;1;;;F6Vawvar;6536;;
2237;2475;;;;Cet;6,44;;;7,08820670;-20,33477667;31,01;-118,11;-112,69;0,594;0,62;;D;2;C;AB;G3V;5993;;
2240;2490;;;;Phe;5,42;;;7,11007309;-39,91490183;7,86;135,95;-41,36;1,556;1,74;;;1;;;M0III;;;
2256;2529;;;;Phe;6,26;;;7,17908720;-50,53284634;8,58;159,44;-5,33;1,090;1,08;;;1;;;K0III;4621;;
2270;2507;;;;And;6,28;;;7,23610470;+36,89970105;7,03;-4,42;-2,76;0,916;0,91;;C;1;;;G5III;;;
2337;2630;;;;Cet;6,15;;;7,46586901;-14,86402653;23,62;147,08;-33,98;0,388;0,44;;;1;;;F2/F3V;6758;;
2353;2637;12;;Cet;Cet;5,72;;;7,50980355;-03,95729662;3,82;8,61;-14,51;1,545;1,61;;;1;;;M0III;;;
2355;2628;28;;And;And;5,20;1;GNAnd;7,53056566;+29,75169567;17,62;43,56;-57,18;0,271;0,31;0,07;P;1;;;A7III;7302;;
2377;2626;;;;Cas;5,94;;;7,58297373;+59,97756400;4,54;16,26;-3,94;-0,003;0,02;;D;2;C;AB;B9IIIn;13047;;
2381;2696;;;;Cet;5,17;;;7,59446346;-23,78771429;18,08;-26,95;13,97;0,128;0,14;;;1;;;A3V;8206;;
2383;2726;;;;Phe;5,67;;;7,60822774;-48,21469821;22,19;163,44;-87,30;0,367;0,43;;;1;G;;F2V;6853;;
2388;2724;;;;Phe;6,18;1;BBPhe;7,61594916;-40,93962515;7,77;-3,25;16,16;0,315;0,36;;U;1;;;F2III;6973;;
2422;2589;;;;Cas;6,18;;;7,72581643;+77,01948785;25,37;340,40;-34,36;0,883;0,89;;C;1;;;K0IV;5112;;
2472;2834;;lam01;Phe;Phe;4,76;;;7,85356695;-48,80356171;18,97;140,74;19,47;0,018;0,01;;;1;;;A0V;;;
2474;2729;13;;Cas;Cas;6,18;1;;7,85500767;+66,51962673;4,55;19,38;-3,87;-0,100;-,08;;M;1;;;B6V;13740;;
2475;2767;;;;And;5,88;;;7,85668759;+33,58168169;6,98;49,61;-16,26;1,133;1,10;;C;1;;;K1III...;;;
2484;2884;;bet01;Tuc;Tuc;4,36;;;7,88566992;-62,95808549;23,35;82,48;-54,37;-0,064;-,02;;D;1;;;B9V;10770;;
2487;2885;;bet02;Tuc;Tuc;4,53;;;7,88898014;-62,96544985;18,95;87,95;-45,79;0,147;0,14;;D;1;X;;A2V;8019;;
2497;2774;;;;Cas;5,59;;;7,92171234;+52,83955844;8,29;-55,33;-13,14;1,163;1,12;;C;1;;;K2III;4550;;
2505;2772;14;lam;Cas;Cas;4,74;;;7,94299136;+54,52232473;9,20;40,78;-14,81;-0,098;-,08;;D;2;C;AB;B8Vn;11877;;
2548;2913;51;;Psc;Psc;5,69;;;8,09897908;+06,95545461;12,36;45,91;3,54;-0,014;0,01;;D;2;C;AC;B9.5V;10691;;
2568;2910;52;;Psc;Psc;5,38;;;8,14750345;+20,29443334;12,69;136,81;-48,10;1,069;1,00;;;1;;;K0III;4751;;
2578;3003;;bet03;Tuc;Tuc;5,07;;;8,18247614;-63,03137868;21,52;86,15;-49,85;0,038;0,05;;C;1;;;A0V;9140;;
2583;2942;;;;And;6,26;;;8,20454088;+28,28022584;6,95;-4,20;6,08;0,965;0,95;;C;1;;;G8II;;;
2599;2905;15;kap;Cas;Cas;4,17;2;kapCas;8,24994391;+62,93178781;0,79;3,99;-2,10;0,130;0,17;;U;1;;;B1Ia;21830;;
2611;2952;;;;Cas;5,93;;;8,29301467;+54,89508062;8,68;70,08;-39,36;1,037;1,01;;;1;;;K0III;4818;;
2628;2904;;;;Cas;6,41;;;8,33001511;+70,98184763;6,18;35,38;-1,81;-0,007;0,01;;C;1;;;A0Vn;9840;;
2629;3112;;the;Tuc;Tuc;6,11;1;theTuc;8,34677242;-71,26621472;6,65;73,49;-13,04;0,265;0,30;;U;1;;;A7IV;;;
2661;3059;;;;Scl;5,55;;;8,42108802;-29,55820696;6,56;-27,91;-29,31;1,262;1,23;;C;1;;;K1III;4270;;
2663;3074;;;;Scl;6,41;;;8,43270424;-35,00082229;27,63;-60,33;-516,78;0,617;0,69;;D;2;C;AB;F8/G0V;5925;;
2707;3038;16;;Cas;Cas;6,47;;;8,60369264;+66,75035211;5,77;23,84;-0,28;-0,049;-,03;;D;2;C;AB;B9III;;;
2711;3158;;;;Phe;5,57;;;8,61506261;-52,37318294;39,03;227,80;38,21;0,472;0,55;;C;1;;;F3IV-V;6448;;
2734;3166;;;;Psc;6,39;;;8,73086587;+13,37126922;8,15;-74,19;-54,54;1,136;1,07;;C;1;;;K0;4646;;
2762;3196;13;;Cet;Cet;5,20;;BUCet;8,81100390;-03,59275785;47,51;407,68;-36,47;0,567;0,64;;D;2;C;AB;F8V...;6099;;
2787;3229;14;;Cet;Cet;5,94;;;8,88645754;-00,50545908;17,97;143,36;-61,94;0,444;0,51;;C;1;;;F5IV;6491;;
2789;3303;;;;Phe;6,04;;;8,88881583;-54,82174811;12,88;22,48;-51,27;1,001;1,07;;C;1;;;K0IV;4700;;
2802;3302;;lam02;Phe;Phe;5,51;;;8,92139531;-48,00066027;27,61;47,14;-101,40;0,461;0,53;;C;1;;;F6V;6616;;
2832;3268;;;;Psc;6,32;;;8,97867189;+13,20750244;26,59;-133,16;-179,03;0,517;0,59;;C;1;;;F7V;6177;;
2846;3325;;;;Cet;6,45;;;9,01331466;-14,97289122;7,03;-64,72;-59,19;1,063;0,96;;C;1;;;K0III;;;
2852;3326;;;;Cet;6,06;;BGCet;9,02876061;-22,84221094;20,12;-71,44;-50,35;0,297;0,34;;;1;;;A5m...;;;
2854;3240;;;;Cas;5,08;;;9,03453140;+54,16845384;6,45;22,98;-1,52;-0,098;-,08;;;1;;;B7III;12093;;
2876;3283;;;;Cas;5,78;;;9,11392475;+60,32621728;0,97;3,05;-1,10;0,294;0,43;;;1;;;A4III;;;
2889;3444;;;;Tuc;6,43;;;9,15663761;-65,12442483;5,05;41,88;-8,54;1,260;1,20;;C;1;;;K2/K3III;;;
2900;3346;;;;And;5,14;1;;9,19362920;+44,48850971;4,97;-36,70;31,77;1,587;1,61;;U;1;;;K5III;;;
2903;3379;53;;Psc;Psc;5,89;;AGPsc;9,19713232;+15,23175994;3,81;0,91;-14,18;-0,146;-,14;;;1;;;B2.5IV;16112;;
2912;3369;29;pi,;And;And;4,34;;;9,22016239;+33,71935227;4,97;15,23;-3,56;-0,123;-,08;;;1;O;;B5V;15402;;
2920;3360;17;zet;Cas;Cas;3,69;;;9,24277921;+53,89693161;5,46;17,77;-9,15;-0,196;-,23;;C;1;;;B2IV;21235;Fulu;Фулу
2926;3411;;;;And;6,18;;;9,28000597;+24,01424837;9,75;-18,57;-46,04;1,170;1,08;;C;1;;;K2III;4632;;
2937;3488;;;;Phe;6,40;;;9,32573293;-54,39380980;6,85;70,07;-3,79;0,995;0,99;;;1;;;K0II/IIICN;4853;;
2941;3443;;;;Cet;5,57;;;9,33244613;-24,76722545;64,38;1422,09;-17,15;0,715;0,78;;D;2;C;AB;K1V+...;5425;;
2942;3421;;;;And;5,45;;;9,33844167;+35,39951013;3,19;-9,21;-3,57;0,886;0,82;;C;1;;;G5III;5236;;
2954;3457;;;;Psc;6,43;;;9,37682692;+03,13549746;5,65;90,32;-60,23;1,339;1,39;;;1;;;K4III;;;
