HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
97087;186568;;;;Cyg;6,04;;;295,96436260;+34,16271463;3,62;6,39;3,95;-0,071;0,00;;;1;;;B8III;;;
97091;186518;;;;Vul;6,27;2;PSVul;295,98322359;+27,13540609;0,75;0,73;-3,35;1,015;0,99;3,82;P;2;C;AB;B7V+G1:III;;;
97118;186675;15;;Cyg;Cyg;4,89;;;296,06896508;+37,35426967;11,70;72,58;35,14;0,948;0,94;;C;1;;;G8III;4976;;
97122;187340;;;;Dra;5,90;;;296,07667340;+69,33711857;7,37;8,78;-22,17;0,072;0,08;;;1;;;A2III;;;
97139;186547;48;psi;Aql;Aql;6,25;;;296,14246074;+13,30280916;4,03;1,78;-10,82;-0,041;-,02;;C;1;;;B9III-IV;10814;;
97142;186702;;;;Cyg;6,39;2;V2090Cyg;296,15904371;+34,41415588;3,93;3,64;3,35;1,521;2,73;;U;1;;;M1III;;;
97144;186535;;;;Aql;6,43;;;296,17197869;+08,72658032;8,20;37,30;-17,50;0,940;0,93;;;1;G;;K0;5012;;
97151;186776;;;;Cyg;6,36;2;V973Cyg;296,20455325;+40,71686361;3,60;-68,01;-24,79;1,561;2,35;;U;1;;;M3III;;;
97165;186882;18;del;Cyg;Cyg;2,86;;;296,24350878;+45,13069195;19,07;43,22;48,44;-0,002;-,02;;D;2;C;AB;B9.5III;9985;Fawaris;Фаварис
97228;186901;;;;Cyg;6,38;;;296,41521750;+36,09100655;1,73;2,23;6,59;-0,049;-,03;;D;1;C;;B9.5V;10328;;
97229;186689;49;ups;Aql;Aql;5,89;;;296,41631572;+07,61315784;18,48;53,84;0,10;0,180;0,20;;;1;;;A3IV;8036;;
97242;186927;;;;Cyg;6,14;;;296,46394910;+35,01276709;7,68;11,57;-6,43;1,070;0,95;;;1;;;A2V+...;;;
97244;186660;;;;Aql;6,47;;;296,46764026;-02,88344929;3,00;-2,71;-1,49;0,016;0,04;;;1;;;B3III;;;
97260;186500;;;;Sgr;5,51;;;296,50506632;-31,90853854;5,98;1,49;-13,52;0,024;0,04;;C;1;;;B8III;12388;;
97278;186791;50;gam;Aql;Aql;2,72;1;;296,56487567;+10,61326869;7,08;15,72;-3,08;1,507;1,44;;M;1;;;K3II;4145;Tarazed;Таразед
97290;186648;56;f;Sgr;Sgr;4,87;;;296,59091351;-19,76089482;15,92;-128,89;-89,81;1,061;1,03;;C;1;;;K0III;4660;;
97295;187013;17;;Cyg;Cyg;5,00;;;296,60659960;+33,72868813;47,94;23,05;-448,66;0,476;0,55;;;1;;;F5;6159;;
97307;187038;;;;Cyg;6,18;;;296,64598291;+32,88860483;8,89;-37,42;-5,85;1,172;1,13;;;1;;;K2;;;
97326;187764;;;;Dra;6,34;1;CNDra;296,68607234;+68,43800200;6,21;7,43;-1,66;0,309;0,35;;U;1;;;F0III;6950;;
97365;187076;7;del;Sge;Sge;3,68;2;delSge;296,84693842;+18,53425912;7,28;-4,58;11,10;1,313;1,27;;U;2;C;AB;M2II+B6;3779;;
97372;187372;;;;Cyg;6,14;1;;296,86185855;+47,90765516;2,65;-21,34;-37,66;1,640;1,93;;U;1;;;M2III;;;
97376;187235;;;;Cyg;5,83;;;296,86573441;+38,40761671;6,67;4,45;-1,16;-0,087;-,07;;C;1;;;B8Vn;11776;;
97402;187193;;;;Vul;6,00;;;296,95207186;+25,38411181;8,16;67,54;-21,98;0,993;0,97;;;1;;;K0II-III;4893;;
97421;186543;;nu,;Tel;Tel;5,33;;;297,00459018;-56,36227755;19,19;92,40;-137,40;0,196;0,21;;;1;;;A9Vn;7872;;
97423;186984;;;;Sgr;6,11;;;297,01253704;-13,70355495;16,00;25,57;-24,95;0,193;0,19;;C;1;;;A6:IIIm...;;;
97433;188119;63;eps;Dra;Dra;3,84;;;297,04255658;+70,26783533;22,40;80,18;39,02;0,888;0,88;;D;2;C;AB;G8III;4978;Til;Тиль
97454;187203;;;;Aql;6,44;;;297,12714544;+10,69411398;1,85;-2,29;-5,82;0,932;0,96;;;1;;;F8Ib-II;5774;;
97473;187259;52;pi,;Aql;Aql;5,75;;;297,17520021;+11,81592014;5,72;15,95;-9,79;0,546;0,62;;D;2;C;AB;F2V:+...;;;
97484;187150;;;;Sgr;6,47;1;;297,20905254;-12,31936853;1,99;-0,48;-21,53;1,676;1,70;;U;1;;;K5III;;;
97485;187459;;;;Cyg;6,42;2;V1765Cyg;297,21083513;+33,43729726;1,47;-3,64;-5,74;0,129;0,28;13,37;P;1;;;B0.5Ibvar;;;
97491;186756;;;;Tel;6,27;;;297,22947412;-52,88799211;4,15;15,47;-47,93;1,131;1,09;;C;1;;;K1III;;;
97496;187362;8;zet;Sge;Sge;5,01;;;297,24437005;+19,14197806;9,99;17,91;26,47;0,095;0,11;;D;3;C;;A3V;8320;;
97499;187195;;;;Aql;6,00;;;297,25910696;-10,87071152;11,42;30,84;-21,34;1,233;1,19;;;1;;;K5III;4423;;
97515;187098;;;;Sgr;6,04;;;297,29803947;-28,78873269;21,95;119,95;-98,62;0,403;0,47;;C;1;;;F3V;6549;;
97534;186219;;;;Pav;5,39;;;297,35538694;-72,50341408;24,08;6,91;14,67;0,234;0,26;;;1;;;A4III;;;
97538;187638;;;;Cyg;6,12;;;297,36457758;+38,71017237;4,68;7,63;-9,43;0,906;0,91;;C;1;;;G6III;;;
97569;186584;;;;Pav;6,44;1;;297,47257971;-66,81309300;3,03;-0,55;9,84;1,482;1,50;;M;1;;;K4III;;;
97572;187640;;;;Vul;6,45;2;V379Vul;297,47799734;+28,43968047;1,92;1,71;-2,43;-0,104;-,09;;U;1;;;B5V;14825;;
97573;187614;;;;Vul;6,46;;;297,48252498;+27,08517105;6,86;8,86;4,57;0,937;0,93;;C;1;;;G8III;;;
97598;187086;;;;Tel;5,91;2;;297,55855107;-47,55736033;2,92;8,52;-12,99;1,678;2,07;;U;1;G;;M1III;;;
97607;187567;;;;Aql;6,49;1;V1339Aql;297,57283311;+07,90242825;2,10;-1,08;-3,96;-0,086;-,07;;U;1;;;B2.5IVe;;;
